,Vendor,count,Service,Service_extend,Service_outdated,Frontend,Frontend_extend,Frontend_extend_2,Database,Backend,Backend_extend,APIs
98,Vendor584,15,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
99,Vendor052,15,Apache,/2.4.41 (Ubuntu),,,,Own Frontend Design,,HTTP,1.1,
100,Vendor737,15,nginx,/1.15.8,,,,Own Frontend Design,,HTTP,1.1,
101,Vendor574,15,nginx,/1.16.0,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
102,Vendor724,13,nginx,/1.18.0 (Ubuntu),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
103,Vendor004,13,Caddy,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
104,Vendor190,12,nginx,,,Javascript,,Own Frontend Design,,HTTP,1.1,
105,Vendor582,12,nginx,/1.18.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
106,Vendor548,12,nginx,/1.21.3,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
107,Vendor247,11,openresty/1.21.4.1,,,,CSS,Own Frontend Design,,HTTP,1.1,
108,Vendor668,11,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
109,Vendor394,11,Kestrel,,,,,Own Frontend Design,,,,
110,Vendor359,11,nginx,/1.22.1,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
111,Vendor026,11,,,,Javascript,CSS,Own Frontend Design,,HTTP,1,
112,Vendor108,10,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
113,Vendor681,10,JBoss-EAP/7,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
114,Vendor295,10,nginx,/1.22.1,,,CSS,Own Frontend Design,,HTTP,1.1,
115,Vendor306,10,,,,,CSS,Own Frontend Design,,HTTP,1.1,
116,Vendor556,9,awselb/2.0,,,,CSS,Own Frontend Design,,HTTP,1.1,
117,Vendor625,9,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
118,Vendor459,9,nginx,/1.22.0,,,,Based on Third Party Framework,,HTTP,1.1,
119,Vendor336,9,,,,,,Own Frontend Design,,HTTP,1.1,
120,Vendor424,9,lighttpd/1.4.53,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
121,Vendor222,9,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
122,Vendor821,9,nginx,/1.24.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
123,Vendor339,9,kong/2.6.1,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
124,Vendor291,9,,,,,,Own Frontend Design,,HTTP,1.1,
125,Vendor639,8,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
126,Vendor414,8,,,,,CSS,Own Frontend Design,,HTTP,1.1,
127,Vendor498,8,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
128,Vendor208,8,nginx,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
129,Vendor594,8,nginx,/1.14.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
130,Vendor099,8,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
131,Vendor100,8,,,,,CSS,Own Frontend Design,,HTTP,1.1,
132,Vendor817,8,Microsoft-IIS,/8.0,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
133,Vendor385,8,Apache,/2.4.52 () PHP/7.3.30,,,CSS,Half Rely on Third-Party Framework,,,,
134,Vendor685,8,nginx,/1.22.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
135,Vendor009,8,awselb/2.0,,,Javascript,,Based on Third Party Framework,,,,
136,Vendor392,8,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
137,Vendor810,7,Kestrel,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
138,Vendor220,7,Microsoft-IIS,/10.0,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
139,Vendor785,7,nginx,,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
140,Vendor638,7,nginx,/1.20.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
141,Vendor699,7,nginx,/1.25.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
142,Vendor671,7,nginx,/1.18.0 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
143,Vendor039,7,Kestrel,,,,,Own Frontend Design,,HTTP,1.1,
144,Vendor238,7,,,,Javascript,,Own Frontend Design,,HTTP,1.1,
145,Vendor065,7,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
146,Vendor023,7,Apache,,,,,Own Frontend Design,,HTTP,1.1,
147,Vendor034,7,Microsoft-IIS,/8.5,,,,Own Frontend Design,,HTTP,1.1,
148,Vendor736,7,elb,,,Javascript,,Own Frontend Design,,HTTP,1.1,
149,Vendor776,6,,,,Javascript,,Own Frontend Design,,HTTP,1.1,
150,Vendor721,6,Werkzeug/2.0.2 Python/3.10.12,,,Javascript,CSS,Own Frontend Design,,HTTP,1,
151,Vendor298,6,Apache,"```
/2.4.52 (Ubuntu)
```",,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
152,Vendor420,6,Apache,,,,,Own Frontend Design,,HTTP,1.1,
153,Vendor860,6,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
154,Vendor698,6,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
155,Vendor670,6,nginx,/1.10.3 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
156,Vendor107,6,Werkzeug/0.9.6 Python/2.7.5,,,,CSS,Own Frontend Design,,HTTP,1.1,
157,Vendor352,6,nginx,,,,,Own Frontend Design,,HTTP,1.1,
158,Vendor682,6,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
159,Vendor254,6,,,,,,Own Frontend Design,,HTTP,1.1,
160,Vendor658,6,nginx,/1.20.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
161,Vendor555,6,Apache,/2.4.57 (Win64) OpenSSL/3.1.1 PHP/5.6.9,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
162,Vendor166,6,gSOAP/2.8,,,,,Based on Third Party Framework,,HTTP,1.1,
163,Vendor623,6,,,,,CSS,Own Frontend Design,,HTTP,1.1,
164,Vendor595,6,nginx,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
165,Vendor846,6,Microsoft-IIS,/10.0,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
166,Vendor086,6,,,,,,Own Frontend Design,,,,
167,Vendor840,6,nginx,/1.22.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
168,Vendor728,6,nginx,,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
169,Vendor249,6,,,,,CSS,Own Frontend Design,,HTTP,1.1,
170,Vendor400,5,,,,Javascript,CSS,Own Frontend Design,,HTTP,1,
171,Vendor231,5,Global Industries EvOne+32 WiFi,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
172,Vendor007,5,Apache,/2.4.38 (Debian),,Javascript,,Own Frontend Design,,,,
173,Vendor514,5,nginx,/1.24.0 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
174,Vendor805,5,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
175,Vendor102,5,nginx,/1.25.3,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
176,Vendor608,5,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
177,Vendor614,5,nginx,/1.14.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
178,Vendor532,5,lighttpd/1.4.67,,,Javascript,,Own Frontend Design,,HTTP,1.1,
179,Vendor741,5,Microsoft-IIS,/8.5,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
180,Vendor861,5,nginx,/1.12.2,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
181,Vendor553,5,Apache,/2.4.6 (CentOS) PHP/7.0.33,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
182,Vendor081,5,Microsoft-IIS,/10.0,,,,Half Rely on Third-Party Framework,,,,
183,Vendor536,5,Apache,/2.4.52 (Unix) OpenSSL/1.1.1n,,Javascript,CSS,Half Rely on Third-Party Framework,,,,
184,Vendor103,5,Apache,/2.4.54 (Win64) OpenSSL/1.1.1p PHP/8.1.10,,,CSS,Based on Third Party Framework,,HTTP,1.1,
185,Vendor866,5,nginx,/1.17.10,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
186,Vendor364,5,Express,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
187,Vendor186,5,nginx,/1.10.3 (Ubuntu),,,,Own Frontend Design,,HTTP,1.1,
188,Vendor788,5,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
189,Vendor472,4,nginx,/1.18.0 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
190,Vendor029,4,Apache,/2.4.59 (Amazon Linux),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
191,Vendor324,4,Apache,/2.4.29 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
192,Vendor607,4,nginx,/1.15.10,,,CSS,Own Frontend Design,,HTTP,1.1,
193,Vendor236,4,,,,Javascript,CSS,Own Frontend Design,,HTTP,1,
194,Vendor647,4,nginx,/1.21.5,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
195,Vendor527,4,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
196,Vendor718,4,nginx,/1.16.0,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
197,Vendor644,4,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
198,Vendor526,4,,,,,,Own Frontend Design,,,,
199,Vendor020,4,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
200,Vendor592,4,nginx,/1.12.2,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
201,Vendor403,4,nginx,,,,,Cannot determine the frontend design based on the provided HTTP response content.,,HTTP,1.1,
202,Vendor563,4,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
203,Vendor731,4,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
204,Vendor445,4,nginx,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
205,Vendor232,4,Apache,,,,,Half Rely on Third-Party Framework,,,,
206,Vendor169,4,Apache,/2.4.58 (Ubuntu),,Javascript,,Own Frontend Design,,HTTP,1.1,
207,Vendor046,4,nginx,/1.18.0 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
208,Vendor143,4,nginx,,,Javascript,,Own Frontend Design,,HTTP,1,
209,Vendor275,4,AndServer/2.0.0,,,,,Own Frontend Design,,HTTP,1.1,
210,Vendor651,4,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
211,Vendor569,4,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
212,Vendor377,3,Apache,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
213,Vendor300,3,Apache,/2.4.38 (Raspbian),,,,Half Rely on Third-Party Framework,,HTTP,1.1,
214,Vendor645,3,nginx,/1.13.8,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
215,Vendor260,3,Apache,,,Javascript,,Own Frontend Design,,HTTP,1.1,
216,Vendor443,3,,,,,,Own Frontend Design,,HTTP,1.1,
217,Vendor570,3,Microsoft-IIS,/7.5,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
218,Vendor327,3,Kestrel,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
219,Vendor386,3,,,,,CSS,Own Frontend Design,,HTTP,1.1,
220,Vendor627,3,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
221,Vendor293,3,,,,Javascript,CSS,Own Frontend Design,,HTTP,1,
222,Vendor675,3,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
223,Vendor319,3,nginx,/1.8.1,,,,Own Frontend Design,,HTTP,1.1,
224,Vendor872,3,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
225,Vendor149,3,nginx,/1.25.3,,,CSS,Own Frontend Design,,HTTP,1.1,
226,Vendor265,3,Apache,/2.4.29 (Ubuntu),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
227,Vendor374,3,Apache,,,Javascript,,Own Frontend Design,,HTTP,1.1,
228,Vendor131,3,nginx,,,,,Own Frontend Design,,HTTP,1.1,
229,Vendor399,3,,,,,,Own Frontend Design,,HTTP,1,
230,Vendor533,3,,,,,,Own Frontend Design,,,,
231,Vendor085,3,Apache,/2.4.48 (Unix) OpenSSL/1.1.1d,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
232,Vendor076,3,Kestrel,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
233,Vendor223,3,nginx,/1.18.0 (Ubuntu),,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
234,Vendor097,3,nginx,/1.19.3,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
235,Vendor378,3,,,,Javascript,,Based on Third Party Framework,,,,
236,Vendor697,3,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
237,Vendor215,3,Apache,,,Javascript,CSS,Own Frontend Design,,,,
238,Vendor830,3,nginx,/1.12.2,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
239,Vendor739,3,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
240,Vendor189,3,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
241,Vendor507,3,,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
242,Vendor087,3,Microsoft-IIS,/8.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
243,Vendor077,3,nginx,,,,,Own Frontend Design,,HTTP,1.1,
244,Vendor344,3,nginx,/1.23.4,,,,Own Frontend Design,,HTTP,1.1,
245,Vendor481,3,nginx,,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
246,Vendor413,3,nginx,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
247,Vendor516,3,Apache,/2.4.29 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
248,Vendor449,3,Apache,,,Javascript,,Own Frontend Design,,HTTP,1.1,
249,Vendor027,3,nginx,/1.21.3,,,,Own Frontend Design,,HTTP,1.1,
250,Vendor167,3,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
251,Vendor137,3,Apache,"```
/2.4.54 (Debian)
```",,,,Own Frontend Design,,,,
252,Vendor580,3,nginx,/1.14.1,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
253,Vendor019,3,Next.js,,,Javascript,,Own Frontend Design,,HTTP,1.1,
254,Vendor153,3,,,,,,Own Frontend Design,,HTTP,1.1,
255,Vendor618,3,Apache,#NAME?,,Javascript,,Own Frontend Design,,HTTP,1.1,
256,Vendor471,3,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
257,Vendor059,3,nginx,/1.14.0 (Ubuntu),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
258,Vendor475,3,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
259,Vendor813,3,nginx,/1.21.5,,,CSS,Own Frontend Design,,HTTP,1.1,
260,Vendor075,3,Apache,/2.4.41 (Ubuntu),,,,Half Rely on Third-Party Framework,,HTTP,1,
261,Vendor775,3,Apache,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
262,Vendor868,3,nginx,/1.17.9,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
263,Vendor587,3,nginx,/1.13.7,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
264,Vendor353,3,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
265,Vendor593,3,nginx,/1.14.0 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
266,Vendor678,3,nginx,/1.20.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
267,Vendor853,3,Apache,/2.4.7 (Ubuntu),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
268,Vendor610,3,nginx,/1.24.0,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
269,Vendor669,3,nginx,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
270,Vendor807,3,nginx,/1.23.2,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
271,Vendor767,3,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
272,Vendor691,3,nginx,/1.20.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
273,Vendor863,3,nginx,/1.13.3,,,,Own Frontend Design,,HTTP,1.1,
274,Vendor134,3,Apache,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
275,Vendor312,3,nginx,/1.22.1,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
276,Vendor316,3,nginx,/1.12.2,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
277,Vendor082,3,Microsoft-IIS,/8.5,,Javascript,,Own Frontend Design,,HTTP,1.1,
278,Vendor185,3,nginx,/1.21.4,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
279,Vendor576,3,nginx,/1.20.2,,,CSS,Own Frontend Design,,HTTP,1.1,
280,Vendor803,3,Apache,/2.4.52 (Ubuntu),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
281,Vendor819,3,nginx,,,Javascript,,Based on Third Party Framework,,HTTP,1.1,
282,Vendor177,3,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
283,Vendor871,3,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
284,Vendor700,3,nginx,/1.19.6,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
